,id,originalTitle,description,contentRating,budget,grossWorldwide,genres,isAdult,numVotes,averageRating
109,tt0052357,Vertigo,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",PG,2479000.0,7974114.0,"['Mystery', 'Romance', 'Thriller']",False,450751,8.2
110,tt0211915,Le fabuleux destin d'Amélie Poulain,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",R,10000000.0,175425751.0,"['Comedy', 'Romance']",False,826040,8.3
111,tt0986264,Taare Zameen Par,A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,PG,,21897373.0,"['Drama', 'Family']",False,224531,8.3
112,tt1832382,Jodaeiye Nader az Simin,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,PG-13,500000.0,22926076.0,['Drama'],False,272773,8.3
113,tt0056592,To Kill a Mockingbird,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,Approved,2000000.0,602810.0,"['Crime', 'Drama']",False,346368,8.3
114,tt0095016,Die Hard,"A New York City cop, John McClane, tries to save his estranged wife and several others taken hostage by terrorists during a Christmas Eve party at the Nakatomi Plaza Skyscraper in Los Angeles, California.",R,28000000.0,143651650.0,"['Action', 'Thriller']",False,1001642,8.2
115,tt0070735,The Sting,Two grifters team up to pull off the ultimate con.,PG,5500000.0,156000000.0,"['Comedy', 'Crime', 'Drama']",False,293926,8.2
116,tt0097576,Indiana Jones and the Last Crusade,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",PG-13,48000000.0,474171806.0,"['Action', 'Adventure']",False,848115,8.2
117,tt0066921,A Clockwork Orange,Alex DeLarge and his droogs barbarize a decaying near-future.,R,2200000.0,27035204.0,"['Crime', 'Sci-Fi']",False,920898,8.2
118,tt0017136,Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Not Rated,6000000.0,1353679.0,"['Drama', 'Sci-Fi']",False,196911,8.3
119,tt0208092,Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",R,6000000.0,83558617.0,"['Comedy', 'Crime']",False,957183,8.2
120,tt8579674,1917,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",R,95000000.0,446064352.0,"['Action', 'Drama', 'War']",False,743687,8.2
121,tt15398776,Oppenheimer,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",R,100000000.0,975811333.0,"['Biography', 'Drama', 'History']",False,939484,8.3
122,tt0119488,L.A. Confidential,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",R,35000000.0,126216940.0,"['Crime', 'Drama', 'Mystery']",False,647964,8.2
123,tt0363163,Der Untergang,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",R,13500000.0,92181574.0,"['Biography', 'Drama', 'History']",False,393059,8.2
124,tt0040522,Ladri di biciclette,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Not Rated,133000.0,453557.0,['Drama'],False,188434,8.2
125,tt5074352,Dangal,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.",Not Rated,700000000.0,303726694.0,"['Action', 'Biography', 'Drama']",False,232270,8.3
126,tt0993846,The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",R,100000000.0,407039432.0,"['Biography', 'Comedy', 'Crime']",False,1721303,8.2
127,tt6966692,Green Book,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,PG-13,23000000.0,321752656.0,"['Biography', 'Comedy', 'Drama']",False,654121,8.2
128,tt0120382,The Truman Show,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,PG,60000000.0,264118712.0,"['Comedy', 'Drama']",False,1316250,8.2
129,tt8503618,Hamilton,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",PG-13,,15981487.0,"['Biography', 'Drama', 'History']",False,132824,8.3
130,tt0075314,Taxi Driver,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",R,1300000.0,28979798.0,"['Crime', 'Drama']",False,996368,8.2
131,tt0372784,Batman Begins,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",PG-13,150000000.0,375545613.0,"['Action', 'Crime', 'Drama']",False,1671719,8.2
132,tt0252488,Hababam Sinifi: Sinifta Kaldi,A young and beautiful female teacher starts working in an all boys high school.,,,,['Comedy'],False,28253,8.6
133,tt0059578,Per qualche dollaro in più,Two bounty killers with similar intentions but different motivations team up to take down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.,R,600000.0,15000770.0,"['Drama', 'Western']",False,293358,8.2
134,tt0055031,Judgment at Nuremberg,"Fictionalized depiction of the 1947 Judges' Trial, the third of 12 trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions.",Approved,3000000.0,12180.0,"['Drama', 'History', 'War']",False,93614,8.3
135,tt1130884,Shutter Island,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,R,80000000.0,294978537.0,"['Drama', 'Mystery', 'Thriller']",False,1581770,8.2
136,tt0053291,Some Like It Hot,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Approved,2883848.0,210972.0,"['Comedy', 'Music', 'Romance']",False,299018,8.2
137,tt0107290,Jurassic Park,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.",PG-13,63000000.0,1104379926.0,"['Action', 'Adventure', 'Sci-Fi']",False,1145019,8.2
138,tt0012349,The Kid,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",Passed,250000.0,46382.0,"['Comedy', 'Drama', 'Family']",False,143040,8.2
139,tt10272386,The Father,"A man refuses all assistance from his daughter as he ages. When he tries to understand what is happening around him, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",PG-13,6000000.0,24048935.0,"['Drama', 'Mystery']",False,219408,8.2
140,tt0469494,There Will Be Blood,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",R,25000000.0,76431196.0,['Drama'],False,683236,8.2
141,tt0042192,All About Eve,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Approved,1400000.0,156988.0,['Drama'],False,146622,8.2
142,tt0167404,The Sixth Sense,"After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret.",PG-13,40000000.0,672806432.0,"['Drama', 'Mystery', 'Thriller']",False,1114862,8.2
143,tt0089881,Ran,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",R,11500000.0,4388625.0,"['Action', 'Drama', 'War']",False,147042,8.2
144,tt0112641,Casino,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",R,52000000.0,116112375.0,"['Crime', 'Drama']",False,602289,8.2
145,tt0477348,No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,R,25000000.0,171635011.0,"['Crime', 'Drama', 'Thriller']",False,1147732,8.2
146,tt1745960,Top Gun: Maverick,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.",PG-13,170000000.0,1495696292.0,"['Action', 'Drama']",False,804192,8.2
147,tt0084787,The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,R,15000000.0,20847529.0,"['Horror', 'Mystery', 'Sci-Fi']",False,508217,8.2
